2077	66
1780	67
2896	88
2298	92
1650	45
4720	109
2110	41
1720	38
1015	65
805	45
630	30
4120	119
7450	114
1548	55
1467	51
1900	85
2750	73
2750	48
2640	74
2080	56
1704	69
4415	123
3385	105
1490	33
5800	220
6175	203
5920	176
1690	42
4500	140
2400	116
3481	117
2224	112
2720	105
990	32
1930	79
3340	76
1818	69
5840	133
1940	71
8900	222
3130	62
2940	64
2930	75
2400	100
2620	99
3290	118
1810	55
3380	83
1770	65
1779	96
2600	84
2680	79
3240	101
4890	131
4930	154
954	14
1796	60
1050	12
1580	17
1220	17
990	12
1160	17
1379	16
990	14
980	16
1585	52
1950	99
3900	90
5950	350
1760	79
1360	57
2710	102
2355	77
5144	130
1570	67
1630	62
2290	68
1116	38
1570	55
1865	95
4370	120
2817	85
1800	74
2110	78
1850	91
2173	74
3500	110
2141	69
1436	23
2080	63
1540	28
2090	54
2500	130
4450	144
1660	50
2390	53
1650	70
2600	89
3955	131
5200	100
2592	120
2680	107
2350	110
3920	117
3270	98
1860	96
2878	99
2950	90
6130	141
5700	120
5390	125
1465	60
4110	99
4190	84
6600	144
1501	56
1405	38
3090	90
1790	50
1755	67
1695	61
3800	155
3130	137
980	18
3100	114
1980	93
2300	64
2900	62
2800	58
2750	58
2800	62
2850	62
2660	58
2275	52
2150	80
980	1
3465	80
2530	81
2470	77
800	30
700	20
700	15
650	15
1015	75
650	15
1470	52
2190	69
1780	45
2150	70
2730	66
1840	64
1900	72
1480	26
5610	127
1655	86
2975	57
5700	138
2995	84
1700	75
2285	90
1300	59
1690	65
1570	30
2700	90
2998	112
1930	59
2240	44
2020	85
1450	24
2260	85
3095	74
4020	136
2945	111
3200	148
1436	23
1436	23
3350	89
2990	85
1740	39
1910	61
1605	58
1860	60
1546	47
1860	75
6900	130
3180	80
1947	70
4290	102
2699	92
1490	33
1950	70
5050	156
2710	105
1825	65
1790	72
4100	123
1890	74
1760	52
2390	72
8200	123
1740	61
5930	163
3580	117
6255	105
1840	64
2060	70
1490	39
1476	66
3430	96
2145	84
1990	85
2320	104
1030	36
3160	94
4179	86
1300	30
2080	60
3150	79
2900	80
4680	120
4250	112
3690	72
1830	72
1970	87
2980	105
1520	51
3906	157
3475	101
2960	107
3180	127
1930	61
1850	70
2920	89
1860	70
1840	81
1475	55
2300	95
1950	65
2199	93
3300	75
3900	130
6550	152
1655	58
4800	153
3050	107
2145	62
3590	71
11645	158
9015	128
9015	128
5000	67
6420	67
3920	118
4800	153
2125	88
1730	67
3940	126
2380	84
2470	78
3750	96
2830	115
1615	47
2440	101
2218	65
2000	65
2300	55
1500	46
2358	85
2650	69
2650	77
2600	76
2320	89
3050	63
2000	20
3380	147
3680	115
2670	81
2560	45
1880	20
1680	15
2800	50
2890	70
2560	45
3200	105
1880	15
3360	75
2880	45
1880	15
2320	120
2708	84
2980	117
2160	80
1815	58
2490	118
2975	91
4450	158
2515	69
1760	52
3450	73
5700	96
10200	260
1980	20
2880	36
1880	20
2560	40
2080	30
2550	35
1400	15
1900	15
2080	23
1990	35
2950	65
4320	75
3500	60
2500	40
2100	30
4500	80
4500	80
2560	40
2560	40
3300	45
3600	70
2000	20
1680	15
2400	30
2800	50
2400	30
2300	25
3300	30
1800	15
3000	30
2200	20
4000	80
2080	20
4000	80
2100	20
3500	70
2700	40
3500	40
2200	20
3000	25
3440	70
3600	70
2300	22
2100	20
2500	22
2080	30
2500	45
2200	30
2500	45
3040	65
1290	29
2580	68
4060	100
5400	96
3950	61
2895	113
3600	110
2698	129
1610	60
4230	111
1955	66
2060	65
3125	114
2150	76
1490	33
2165	66
2950	98
3690	71
2228	85
5900	141
2650	77
4070	100
2700	101
4200	120
4427	101
2005	62
2895	109
1790	58
2580	75
2990	66
3001	84
3190	123
5290	83
5290	83
3130	160
1990	65
3440	161
2345	100
3700	80
2040	69
1270	23
5200	172
2543	100
2775	100
2865	115
2190	64
4100	118
1790	65
4575	195
2300	66
1790	58
5800	146
5500	153
1306	30
1430	45
3550	90
2350	38
2300	40
2000	27
2300	34
7300	215
2185	95
4990	122
4290	210
4200	84
3550	44
4540	155
5390	143
4890	149
1790	44
1520	48
1900	84
1865	84
3990	110
1458	54
2390	72
1940	64
3990	83
2430	80
4600	90
2900	131
1465	53
1250	16
7800	121
5750	99
1880	15
1865	53
11871	196
1526	25
2800	140
2365	54
3830	92
3630	92
4050	113
2650	120
1850	70
1690	18
3300	95
900	14
1950	60
3905	104
1875	58
3290	91
1690	24
4400	100
3900	91
2771	128
4200	108
1910	100
3250	143
3780	104
1100	15
4250	117
2730	134
2918	82
4930	107
3590	80
3950	129
4246	102
2449	87
3600	96
3010	89
6100	210
4860	135
1730	39
4020	121
2050	65
3950	95
2171	85
2500	50
1975	60
2570	61
5120	150
1925	69
2195	37
4080	104
2852	118
3910	109
1665	71
4730	87
2920	76
2895	75
3520	107
3081	88
1895	66
2895	75
3920	82
2895	86
4284	131
1856	67
2191	86
3010	112
2133	80
2970	89
3050	75
3990	162
6840	161
3705	108
4150	130
2265	64
1450	22
12800	310
4955	124
5800	205
2730	57
3285	95
3333	106
3715	104
4273	145
2260	93
1093	16
1040	15
960	15
4260	121
1705	39
1445	25
3430	142
2856	109
3990	108
1150	24
4116	97
10450	212
